feature_name;metadata_slide;metadata_roi;parameter;result;cells_quantities;cell_size;state_state_colocalisation;state_border_colocalisation;dbscan_analysis;neighbors_analysis;aggregation_same_for_all;aggregation_wheighted_sum_by_cell_fraction;aggregation_wheighted_sum_by_physiopart_fraction;aggregation_mean;aggregation_by_sum;aggregation_specific_function;feature_build_during_aggregation;feature_removed_during_aggregation;add_during_postprocessing;analysed_in_a_plot;4_rois_3_times_2_pop_analysis;4_rois_3_times_1_pop_analysis
fraction_tissue_roi;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
fraction_physiological_part_roi;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
fraction_tot_tissue_in_roi;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
model_segmentation_roi;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
model_classification_roi;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
n_nuclei_in_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
mean_nuclei_density_roi;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
std_nuclei_density_roi;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
ratio_nuclei_density_roi_vs_slide;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
n_cells_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
n_cells_A_proba_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1
n_cells_A_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1
fraction_tot_A_cells_in_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1
fraction_tot_A_cells_proba_in_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1
n_A_cells_by_area_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
n_A_cells_by_area_roi_proba;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
n_cells_by_area_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
n_cells_by_area_roi_proba;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
fraction_tot_cells_in_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
mean_n_cells_per_tile_roi;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
std_n_cells_per_tile_roi;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
n_Proliferative_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
n_Amoeboid_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
n_Cluster_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
n_Phagocytic_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
n_Ramified_roi;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
